concept_id,label_de,label_en,parent_id
01,Geisteswissenschaften,Humanities,
01.010,Geisteswissenschaften allgemein,Humanities (general),01
01.010.0100,Geisteswissenschaften allgemein,Humanities (general),01.010
01.010.0120,Interdisziplinäre Studien (Schwerpunkt Geisteswissenschaften),Interdisciplinary Studies (Focus on Humanities),01.010
01.020,Evangelische Theologie,Protestant Theology,01
01.020.0200,Evang. Theologie allgemein,Protestant Theology (General),01.020
01.020.0210,Altes Testament (ev.),Old Testament (Protestant Theology),01.020
01.020.0215,Diakoniewissenschaft,Diaconal Science,01.020
01.020.0220,Neues Testament (ev.),New Testament (Protestant Theology),01.020
01.020.0230,Historische Theologie (ev.),Historical Theology (Protestant Theology),01.020
01.020.0240,Systematische Theologie (ev.),Systematic Theology (Protestant Theology),01.020
01.020.0250,Praktische Theologie und Religionspädagogik (ev.),Practical Theology And Religious Education (Protestant Theology),01.020
01.020.0260,Religionsgeschichte und Missionswissenschaft (ev.),History Of Religion And Missionary Studies (Protestant Theology),01.020
01.030,Katholische Theologie,Catholic Theology,01
01.030.0300,Kath. Theologie allgemein,Catholic Theology (general),01.030
01.030.0310,Biblische Theologie (kath.),Biblical Theology (Catholic Theology),01.030
01.030.0315,Caritaswissenschaft,Catholic Social Welfare Studies,01.030
01.030.0320,Historische Theologie (kath.),Historical Theology (Catholic Theology),01.030
01.030.0330,Systematische Theologie (kath.),Systematic Theology (Catholic Theology),01.030
01.030.0340,Praktische Theologie und Religionspädagogik (kath.),Practical Theology And Religious Education (Catholic Theology),01.030
01.030.0350,Kanonistik (kath.),Canon Law (Catholic Theology),01.030
01.030.0390,Altkatholische Theologie,Old Catholic Theology,01.030
01.040,Philosophie,Philosophy,01
01.040.0400,Philosophie allgemein,Philosophy (general),01.040
01.040.0410,Religionswissenschaft,Religious Studies,01.040
01.040.0420,Didaktik der Philosophie/der Ethik,Didactics Of Philosophy/Ethics,01.040
01.040.0425,Geschichte der Philosophie,History Of Philosophy,01.040
01.040.0426,Logik,Logic,01.040
01.040.0430,Wissenschaftsforschung/-lehre,Science Research/teaching,01.040
01.050,Geschichte,History,01
01.050.0500,Geschichte allgemein,History (general),01.050
01.050.0510,Ur- und Frühgeschichte,Prehistory And Early History,01.050
01.050.0520,Alte Geschichte,Ancient History,01.050
01.050.0530,Mittelalterliche Geschichte,Medieval History,01.050
01.050.0540,Neuere und neueste Geschichte,Recent And Recent History,01.050
01.050.0550,"Länder-, Landesgeschichte","Country, Regional History",01.050
01.050.0560,Wirtschafts- und Sozialgeschichte,Economic And Social History,01.050
01.050.0570,Archäologie,Archeology,01.050
01.050.0580,Didaktik der Geschichte,Didactics Of History,01.050
01.050.0585,Kultur- und Geistesgeschichte,Cultural And Intellectual History,01.050
01.050.0595,Wissenschaftsgeschichte/Technikgeschichte,History of Science/Technology,01.050
01.070,Informations- und Bibliothekswissenschaften,Information and Library Sciences,01
01.070.0700,Informations- und Bibliothekswissenschaften allgemein,Information and Library Sciences (General),01.070
01.070.0710,Bibliothekswissenschaft (nicht für Verwaltungs-FH),Library Science And Administration (not For College Of Administration),01.070
01.070.0720,Archiv- und Dokumentationswissenschaft,Archival and Documentation Science,01.070
01.070.0730,Informationswissenschaft,Information Science,01.070
01.080,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,General And Comparative Literature And Linguistics,01
01.080.0800,Allgemeine und vergleichende Literatur- und Sprachwissenschaft allgemein,General And Comparative Literature And Linguistics (general),01.080
01.080.0810,Allgemeine und vergleichende Sprachwissenschaft,General And Comparative Linguistics,01.080
01.080.0820,Allgemeine und vergleichende Literaturwissenschaft,General And Comparative Literature,01.080
01.080.0830,"Angewandte Sprachwissenschaft, berufsbezogene Fremdsprachenausbildung","Applied Linguistics, Career-Oriented Foreign Language Training",01.080
01.080.0835,Computerlinguistik,Computational Linguistics,01.080
01.080.0840,Fremdsprachenausbildung (für Hörer aller Fakultäten),Foreign Language Training (for Students Of All Faculties),01.080
01.080.0845,Indogermanistik,Indo-European Linguistics/Studies,01.080
01.090,Altphilologie (klassische Philologie),Classical Philology,01
01.090.0900,Altphilologie allgemein,Classical Philology (general),01.090
01.090.0910,Griechische Philologie,Greek Philology,01.090
01.090.0920,Lateinische Philologie,Latin Philology,01.090
01.090.0930,Byzantinistik,Byzantine Studies,01.090
01.090.0940,Neugriechisch,Modern Greek,01.090
01.090.0950,Papyrologie,Papyrology,01.090
01.090.0960,Didaktik der Altphilologie,Didactics Of Classical Philology,01.090
01.100,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages Excl. English)",01
01.100.1000,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik) allgemein","German Studies (German, Germanic Languages Excl. English General)",01.100
01.100.1020,Skandinavistik,Scandinavian Studies,01.100
01.100.1030,Niederlandistik,Dutch Studies,01.100
01.100.1040,Deutsch als Fremdsprache oder als Zweitsprache,German As A Foreign Language Or As A Second Language,01.100
01.100.1050,Didaktik der deutschen Sprache,Didactics Of The German Language,01.100
01.100.1070,Sonstige germanische Sprachen (ohne Anglistik),Other Germanic Languages (except English Studies),01.100
01.100.1080,Deutsche Literaturwissenschaft,German Literary Studies,01.100
01.100.1090,Deutsche Sprachwissenschaft,German Linguistics,01.100
01.110,"Anglistik, Amerikanistik","English Studies, American Studies",01
01.110.1100,Anglistik,English Studies,01.110
01.110.1110,Amerikanistik,American Studies,01.110
01.110.1120,Didaktik des Englischen,Didactics Of English,01.110
01.110.1125,"Wirtschaftsenglisch, Englische Fachsprachen",Business English And Specialised English,01.110
01.120,Romanistik,Romance Studies,01
01.120.1200,Romanistik allgemein,Romance Studies (general),01.120
01.120.1210,Französische Sprach- und Literaturwissenschaft,French Language And Literature,01.120
01.120.1215,Didaktik des Französischen,Didactics Of French,01.120
01.120.1220,Italienische Sprach- und Literaturwissenschaft,Italian Linguistics And Literature,01.120
01.120.1225,Didaktik des Italienischen,Didactics Of Italian,01.120
01.120.1230,Iberoromanische Sprach- und Literaturwissenschaft,Ibero-romance Linguistics And Literature,01.120
01.120.1235,Didaktik des Spanischen,Didactics Of Spanish,01.120
01.120.1240,Sonstige romanische Sprachen,Other Romance Languages,01.120
01.130,"Slawistik, Baltistik, Finno-Ugristik","Slavic Studies, Baltic Studies, Finno-Ugric Studies",01
01.130.1300,"Slawistik, Baltistik, Finno-Ugristik allgemein","Slavic Studies, Baltic Studies, Finno-Ugric Studies (General)",01.130
01.130.1310,Slawistik allgemein,Slavic Studies (general),01.130
01.130.1315,Ostslawische Philologien,East Slavic Philologies,01.130
01.130.1320,Russische Sprach- und Literaturwissenschaft,Russian Linguistics And Literature,01.130
01.130.1340,Südslawische Philologien,South Slavic Philologies,01.130
01.130.1345,Westslawische Philologien,West Slavic Philologies,01.130
01.130.1346,Polnisch,Polish,01.130
01.130.1347,Sorabistik,Sorabic Studies,01.130
01.130.1348,Tschechisch,Czech,01.130
01.130.1350,Baltistik,Baltic Studies,01.130
01.130.1370,Finno-Ugristik,Finno-ugric Studies,01.130
01.130.1380,Balkanologie,Balkanology,01.130
01.140,Sonstige Sprach- und Kulturwissenschaften,Other Linguistic and Cultural Studies,01
01.140.1400,Sonstige Sprach- und Kulturwissenschaften allgemein,Other/Non-European Linguistics And Cultural Studies (General),01.140
01.140.1410,Ägyptologie,Egyptology,01.140
01.140.1420,Afrikanistik,African Studies,01.140
01.140.1430,Altorientalistik,Ancient Near Eastern Studies,01.140
01.140.1440,Sprachen und Kulturen des christlichen Orients,Languages And Cultures Of The Christian Orient,01.140
01.140.1445,Sprachen und Kulturen des Nahen und Mittleren Ostens,Languages And Cultures Of The Near And Middle East,01.140
01.140.1450,"Semitistik, Arabistik","Semitic Studies, Arabic Studies",01.140
01.140.1460,Judaistik/Hebräisch,Judaic Studies/hebrew,01.140
01.140.1465,Kaukasistik,Caucasian Studies,01.140
01.140.1470,Islamwissenschaft,Islamic Studies,01.140
01.140.1480,Iranistik,Iranian Studies,01.140
01.140.1490,Indologie,Indology,01.140
01.140.1495,Sprachen und Kulturen Ostasiens allgemein,Languages And Cultures Of East Asia (general),01.140
01.140.1510,Turkologie,Turkish Studies,01.140
01.140.1520,Sprachen und Kulturen Zentralasiens,Languages And Cultures Of Central Asia,01.140
01.140.1530,Sinologie,Sinology,01.140
01.140.1540,Japanologie,Japanology,01.140
01.140.1550,Koreanistik,Korean Studies,01.140
01.140.1560,Sprachen und Kulturen Südostasiens und Ozeaniens,Languages And Cultures Of Southeast Asia And Oceania,01.140
01.140.1570,Außereurop. Sprachen und Kulturen Amerikas,Non-european Languages And Cultures Of The Americas,01.140
01.140.1575,Außereurop. Sprachen und Kulturen Australiens,Non-European Languages And Cultures Of Australia,01.140
01.140.1576,Orientalistik allgemein,Oriental Studies (general),01.140
01.140.1610,Sonstige Sprachwissenschaften,Other Linguistics,01.140
01.160,Kulturwissenschaften i.e.S.,Cultural Studies I.e.s.,01
01.160.1580,Ethnologie,Ethnology,01.160
01.160.1590,Volkskunde,Folklore,01.160
01.160.1650,Allgemeine Kulturwissenschaft,General Cultural Studies,01.160
01.160.1660,Europäische Ethnologie,European Ethnology,01.160
01.195,Islamische Studien/Islamische Theologie,Islamic Studies/Islamic Theology,01
01.195.1950,Islamische Studien/Islamische Theologie,Islamic Studies/Islamic Theology,01.195
01.197,Medienwissenschaft,Media Studies,01
01.197.0130,Medienwissenschaft,Media Studies,01.197
02,Sport,Sports,
02.200,Sport,Sports (General),02
02.200.2000,Sportwissenschaften allgemein,Sports Science (general),02.200
02.200.2005,Didaktik des Sports,Didactics of Sports,02.200
02.200.2010,Sportmedizin,Sports Medicine,02.200
02.200.2020,Sportpädagogik/Sportpsychologie,Sports Pedagogy/sports Psychology,02.200
03,"Rechts-, Wirtschafts- und Sozialwissenschaften","Law, Economics And Social Sciences",
03.220,"Rechts-, Wirtschafts- und Sozialwissenschaften allgemein","Law, Economics And Social Sciences (General)",03
03.220.2200,"Rechts-, Wirtschafts- und Sozialwissenschaften allgemein","Law, Economics And Social Sciences (General)",03.220
03.220.2210,"Interdisziplinäre Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften)","Interdisciplinary Studies (Focus On Law, Economics And Social Sciences)",03.220
03.220.2230,Wirtschafts- und Sozialpolitik,Economic And Social Policy,03.220
03.225,Regionalwissenschaften,Regional Studies,03
03.225.2250,Afrika-Studien,African Studies,03.225
03.225.2255,Lateinamerika-Studien,Latin American Studies,03.225
03.225.2260,Nordamerika-Studien,North American Studies,03.225
03.225.2265,Naher und Mittlerer Osten-Studien,Near And Middle East,03.225
03.225.2270,Ostasien-Studien,East Asian Studies,03.225
03.225.2275,Südasien-Studien,South Asian Studies,03.225
03.225.2280,Südostasien und Ozeanien-Studien,Southeast Asia And Oceania,03.225
03.225.2285,Ost- und Südosteuropa-Studien,Eastern and Southeastern European Studies,03.225
03.225.2290,Nord- und Westeuropa-Studien,Northern and Western European Studies,03.225
03.230,Politikwissenschaft,Political Science,03
03.230.2300,Politikwissenschaft allgemein,Political Science (general),03.230
03.230.2350,"Internationale Politik, Internationale Beziehungen","International Politics, International Relations",03.230
03.230.2360,Politische Bildung,Political Education,03.230
03.230.2370,Politische Systeme,Political Systems,03.230
03.230.2380,Politische Theorie und Ideengeschichte,Political Theory and History of Ideas,03.230
03.235,Sozialwissenschaften/Soziologie,Social Sciences/Sociology,03
03.235.2320,Sozialwissenschaften/Soziologie allgemein,Social Sciences (general),03.235
03.235.2340,Bevölkerungswissenschaft (Demographie),Population Science (demography),03.235
03.235.2345,Sozialkunde,Social Studies,03.235
03.235.2355,Empirie und Methoden,Empirical Research and Methods,03.235
03.235.2365,Soziologische Theorie,Sociological Theory,03.235
03.235.2375,Spezielle Soziologien,Specialized Sociologies,03.235
03.240,Sozialwesen,Social Affairs,03
03.240.2400,Sozialwesen allgemein,Social Services (General),03.240
03.240.2410,Soziale Arbeit,Social Work,03.240
03.240.2420,Sozialpädagogik,Social Pedagogy,03.240
03.250,Rechtswissenschaften,Law (General),03
03.250.2500,Rechtswissenschaften allgemein,Jurisprudence (General),03.250
03.250.2510,Rechtsgeschichte,History Of Law,03.250
03.250.2515,Rechtsinformatik,Legal Informatics,03.250
03.250.2520,Rechts- und Staatsphilosophie,Philosophy Of Law And Government,03.250
03.250.2530,Rechtssoziologie,Sociology Of Law,03.250
03.250.2540,Kirchenrecht,Canon/Ecclesiastical Law,03.250
03.250.2545,Kriminologie,Criminology,03.250
03.250.2550,Privatrecht (ohne Arbeitsrecht),Civil Law (excl. Labour Law),03.250
03.250.2560,Öffentliches Recht,Public Law,03.250
03.250.2570,Strafrecht,Criminal Law,03.250
03.250.2580,Internationales Recht und Rechtsvergleichung,International Law And Comparative Law,03.250
03.250.2590,Steuerrecht,Tax Law,03.250
03.250.2620,Handelsrecht,Commercial Law,03.250
03.250.2630,Arbeitsrecht,Employment Law,03.250
03.250.2640,Wirtschaftsrecht,Economic/Business Law,03.250
03.250.2650,Prozessrecht,Procedural Law,03.250
03.250.2665,Europarecht,European Law,03.250
03.250.2670,Bürgerliches Recht,Civil Law,03.250
03.250.2680,Sozialrecht,Social Welfare Law,03.250
03.250.2690,Versicherungsrecht,Insurance Law,03.250
03.270,Verwaltungswissenschaften,Administrative Sciences,03
03.270.2610,Rechtspflege,Administration Of Justice,03.270
03.270.2700,Verwaltungswissenschaft allgemein,Public Administration (General),03.270
03.270.2710,Arbeits- und Berufsberatung,Employment And Career Counseling,03.270
03.270.2711,Archivwesen,Archive Studies,03.270
03.270.2712,Bibliothekswesen,Librarianship,03.270
03.270.2720,Arbeitsverwaltung,Employment Administration,03.270
03.270.2730,Auswärtige Angelegenheiten,Foreign Affairs,03.270
03.270.2740,Bankwesen,Banking,03.270
03.270.2750,Bundeswehrverwaltung,Federal Armed Forces Administration,03.270
03.270.2760,Finanzverwaltung,Financial Management,03.270
03.270.2770,Allgemeine innere Verwaltung,General Internal Administration,03.270
03.270.2780,Justizvollzug,Correctional System,03.270
03.270.2790,Polizei/Verfassungsschutz,Police/constitutional Protection,03.270
03.270.2810,Post- und Fernmeldewesen,Post And Telecommunications,03.270
03.270.2820,Sozialverwaltung,Social Administration,03.270
03.270.2830,Verkehrswesen,Transport,03.270
03.270.2840,Zoll- und Steuerverwaltung,Customs And Tax Administration,03.270
03.290,Wirtschaftswissenschaften,Economics And Business,03
03.290.2815,Tourismuswirtschaft,Tourism,03.290
03.290.2835,Versicherungswesen,Insurance,03.290
03.290.2900,Wirtschaftswissenschaften allgemein,Economics And Business (general),03.290
03.290.2905,Umweltwirtschaft/Umweltökonomie,Environmental Economy/environmental Economics,03.290
03.290.2910,Wirtschaftspädagogik,Business Education,03.290
03.290.2915,Wirtschaftsstatistik,Economic Statistics,03.290
03.290.2920,Wirtschaftsinformatik (für Wirtschaftsingenieure),Business Informatics (for Industrial Engineers),03.290
03.290.2925,Sportmanagement/Sportökonomie,Sports Management/sports Economics,03.290
03.290.2930,Volkswirtschaftslehre,Economics,03.290
03.290.2935,Wirtschaftsinformatik (für Wirtschaftswissenschaften),Business Informatics (for Economists),03.290
03.290.2936,Wirtschaftsmathematik,Economics-related Mathematics,03.290
03.290.2940,Ökonometrie,Econometrics,03.290
03.290.2960,Betriebswirtschaftslehre,Business Administration,03.290
03.290.2966,Internationale Wirtschaft,International Economy,03.290
03.290.2971,Verkehrswirtschaft,Transport Economics,03.290
03.290.2980,Finanzwissenschaft,Finance,03.290
03.290.2985,Medienwirtschaft/Medienmanagement,Media Economy/media Management,03.290
03.290.3010,Arbeitslehre/-wissenschaft,Ergonomics / Occupational Science,03.290
03.310,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,Industrial Engineering (Economics Focus),03
03.310.3100,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,Industrial Engineering (Economics Focus),03.310
03.310.3110,Facility Management,Facility Management,03.310
03.315,Psychologie,Psychology,03
03.315.1700,Psychologie allgemein,Psychology (general),03.315
03.315.1710,"Differentielle Psychologie, Persönlichkeitspsychologie und Diagnostik","Differential Psychology, Personality Psychology And Diagnostics",03.315
03.315.1715,"Arbeits-, Organisations- und Wirtschaftspsychologie","Industrial, Organizational And Business Psychology",03.315
03.315.1720,Entwicklungspsychologie,Developmental Psychology,03.315
03.315.1725,Pädagogische Psychologie,Educational Psychology,03.315
03.315.1730,Sozialpsychologie,Social Psychology,03.315
03.315.1740,"Klinische Psychologie, Diagnostik und Psychotherapie","Clinical Psychology, Diagnostics And Psychotherapy",03.315
03.315.1750,Allgemeine und kognitive Psychologie,General And Cognitive Psychology,03.315
03.315.1760,Biologische und Neuropsychologie,Biological And Neuropsychology,03.315
03.315.1770,Methoden und Evaluation der Psychologie,Methods and Evaluation in Psychology,03.315
03.320,Erziehungswissenschaften,Educational Sciences,03
03.320.1800,Erziehungswissenschaften allgemein,Educational Science (general),03.320
03.320.1801,Didaktik,Didactics,03.320
03.320.1802,Empirische Bildungsforschung,Empirical Educational Research,03.320
03.320.1803,Grundschul- und Primarstufenpädagogik,Elementary School And Primary Level Pedagogy,03.320
03.320.1804,Historische Bildungsforschung,Historical Educational Research,03.320
03.320.1805,Berufs- und Wirtschaftspädagogik,Vocational And Business Education,03.320
03.320.1806,Sonderpädagogik,Special Education,03.320
03.320.1820,Erwachsenenbildung,Adult Education,03.320
03.320.1825,Pädagogische Freizeitforschung und Sportpädagogik,Pedagogical Leisure Research And Sports Pedagogy,03.320
03.320.1826,Pädagogik der frühen Kindheit,Pedagogy Of Early Childhood,03.320
03.320.1827,Schulpädagogik,School Pedagogy,03.320
03.320.1828,Kultur- und Medienpädagogik,Culture And Media Education,03.320
03.320.1829,Interkulturelle und International Vergleichende Erziehungswissenschaft,Intercultural And International Comparative Education,03.320
03.325,Kommunikationswissenschaft/Publizistik,Communication Studies/Journalism,03
03.325.2240,Kommunikationswissenschaft/Publizistik,Communication/Media Studies,03.325
04,"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences",
04.330,"Mathematik, Naturwissenschaften allgemein","Mathematics, Natural Sciences (General)",04
04.330.3300,"Mathematik, Naturwissenschaften allgemein","Mathematics, Natural Sciences (General)",04.330
04.330.3315,"Naturwissenschaftliche Fachdidaktiken, soweit nicht aufteilbar",Specialised Didactics Of Natural Sciences,04.330
04.330.3320,Interdisziplinäre Studien (Schwerpunkt Naturwissenschaft),Interdisciplinary Studies (focus On Natural Sciences),04.330
04.330.3330,Statistik,Statistics,04.330
04.340,Mathematik,Mathematics,04
04.340.3400,Mathematik allgemein,Mathematics (general),04.340
04.340.3440,"Algebra, Diskrete Mathematik und Zahlentheorie","Algebra, Discrete Mathematics and Number Theory",04.340
04.340.3445,Analysis,Mathematical Analysis,04.340
04.340.3450,Didaktik der Mathematik,Didactics Of Mathematics,04.340
04.340.3460,Geometrie und Topologie,Geometry and Topology,04.340
04.340.3470,Mathematik in Naturwissenschaften und Technik,Mathematics in Natural Sciences and Engineering,04.340
04.340.3480,"Mathematische Stochastik, Finanz- und Versicherungsmathematik","Mathematical Stochastics, Finance and Insurance Mathematics",04.340
04.340.3490,Numerische Mathematik und Mathematische Optimierung,Numerical Mathematics and Mathematical Optimization,04.340
04.360,"Physik, Astronomie","Physics, Astronomy",04
04.360.3600,"Physik, Astronomie allgemein","Physics, Astronomy (General)",04.360
04.360.3636,"Elementarteilchen, Kerne und Felder","Elementary Particles, Nuclei and Fields",04.360
04.360.3637,"Optik, Quantenoptik, Physik der Atome, Moleküle und Plasmen","Optics, Quantum Optics, Atomic, Molecular and Plasma Physics",04.360
04.360.3650,Didaktik der Physik,Didactics Of Physics,04.360
04.360.3660,"Statistische und Biologische Physik, nichtlineare Dynamik und weiche Materie","Statistical and Biological Physics, Nonlinear Dynamics and Soft Matter",04.360
04.360.3670,Chemische Physik und Polymerphysik,Chemical Physics and Polymer Physics,04.360
04.360.3680,"Festkörper-, Oberflächen- und Materialphysik","Solid State, Surface and Materials Physics",04.360
04.360.3690,Astrophysik und Astronomie,"Astronomy, Astrophysics",04.360
04.370,Chemie,Chemistry,04
04.370.3700,Chemie allgemein,Chemistry (general),04.370
04.370.3710,Anorganische Chemie,Inorganic Chemistry,04.370
04.370.3720,Organische Chemie,Organic Chemistry,04.370
04.370.3730,Physikalische Chemie,Physical Chemistry,04.370
04.370.3740,Technische Chemie,Technical Chemistry,04.370
04.370.3750,Analytische Chemie,Analytical Chemistry,04.370
04.370.3760,Biochemie (für Chemiker),Biochemistry (for Chemists),04.370
04.370.3770,Makromolekulare Chemie,Macromolecular Chemistry,04.370
04.370.3780,Nuklearchemie,Nuclear Chemistry,04.370
04.370.3790,Theoretische Chemie,Theoretical Chemistry,04.370
04.370.3800,Didaktik der Chemie,Didactics Of Chemistry,04.370
04.370.3810,Lebensmittelchemie,Food Chemistry,04.370
04.370.3820,Materialchemie,Materials Chemistry,04.370
04.370.3830,Elektrochemie,Electrochemistry,04.370
04.370.3840,Oberflächen- und Nanochemie,Surface And Nanochemistry,04.370
04.370.3850,Umwelt- und Atmosphärenchemie,Environmental And Atmospheric Chemistry,04.370
04.390,Pharmazie,Pharmacy,04
04.390.3900,Pharmazie allgemein,Pharmacy (general),04.390
04.390.3910,Pharmazeutische Biologie/Pharmakognosie,Pharmaceutical Biology/pharmacognosy,04.390
04.390.3920,Pharmazeutische Chemie,Pharmaceutical Chemistry,04.390
04.390.3930,Pharmazeutische Technologie,Pharmaceutical Technology,04.390
04.390.3940,Pharmakologie und Toxikologie (Pharmazie),Pharmacology And Toxicology (pharmacy),04.390
04.390.3950,Klinische Pharmazie,Clinical Pharmacy,04.390
04.400,Biologie,Biology,04
04.400.4000,Biologie allgemein,Biology (general),04.400
04.400.4010,Genetik,Genetics,04.400
04.400.4020,Mikrobiologie,Microbiology,04.400
04.400.4030,Biophysik,Biophysics,04.400
04.400.4035,Biotechnologie (für Biologen),Biotechnology (for Biologists),04.400
04.400.4040,Botanik,Botany,04.400
04.400.4050,Zoologie,Zoology,04.400
04.400.4060,Anthropologie (Humanbiologie),Anthropology (human Biology),04.400
04.400.4065,Biochemie (für Biologen),Biochemistry (for Biologists),04.400
04.400.4070,Didaktik der Biologie,Didactics Of Biology,04.400
04.400.4080,Neurobiologie,Neurobiology,04.400
04.400.4090,Ökologie,Ecology,04.400
04.410,Geowissenschaften (ohne Geographie),Earth Sciences (excluding Geography),04
04.410.4100,Geowissenschaften allgemein,Geosciences (general),04.410
04.410.4110,Geologie,Geology,04.410
04.410.4120,Paläontologie,Paleontology,04.410
04.410.4130,Mineralogie,Mineralogy,04.410
04.410.4135,Ozeanographie,Oceanography,04.410
04.410.4140,"Petrologie, -graphie","Petrology, -Graphy",04.410
04.410.4150,Geophysik,Geophysics,04.410
04.410.4155,Hydrologie,Hydrology,04.410
04.410.4160,Meteorologie,Meteorology,04.410
04.410.4170,Kristallographie,Crystallography,04.410
04.410.4180,Geochemie,Geochemistry,04.410
04.410.4190,Geoökologie,Geoecology,04.410
04.420,Geographie,Geography,04
04.420.4200,Geographie allgemein,Geography (general),04.420
04.420.4205,Geoinformatik/Geoinformationssysteme,Geoinformatics/geoinformation Systems,04.420
04.420.4210,Physische Geographie,Physical Geography,04.420
04.420.4215,Wirtschafts- und Sozialgeographie,Economic And Social Geography,04.420
04.420.4220,Anthropogeographie,Anthropogeography,04.420
04.420.4230,Geographische Länder- und Landschaftskunde,Geographic Area Studies And Regional Geography,04.420
04.420.4240,Landschaftsökologie/Biogeographie,Landscape Ecology/Biogeography,04.420
04.420.4250,Didaktik der Geographie,Didactics Of Geography,04.420
05,Humanmedizin/Gesundheitswissenschaften,Human Medicine/health Sciences,
05.440,Humanmedizin allgemein,Human Medicine (general),05
05.440.4400,Humanmedizin allgemein,Human Medicine (general),05.440
05.440.4410,Didaktik der Medizin,Medical Didactics,05.440
05.445,Gesundheitswissenschaften,Health Sciences,05
05.445.4450,Gesundheitswissenschaften allgemein,Health Sciences (general),05.445
05.445.4451,Gesundheitspädagogik,Health Education,05.445
05.445.4453,Gesundheitswissenschaft/-management,Health Science/management,05.445
05.445.4455,Nichtärztliche Heilberufe/Therapien,Non-medical Health Care Professions / Therapies,05.445
05.445.4457,Pflegewissenschaft/-management,Nursing Science/management,05.445
05.445.4459,Gesundheitsökonomie,Health Economics,05.445
05.450,Vorklinische Humanmedizin (einschl. Zahnmedizin),Pre-clinical Human Medicine (including Dentistry),05
05.450.4500,Vorklinische Humanmedizin allgemein,Preclinical Human Medicine (general),05.450
05.450.4510,Medizinische Physik,Medical Physics,05.450
05.450.4520,Medizinische Chemie,Medicinal Chemistry,05.450
05.450.4530,Medizinische Biologie,Medical Biology,05.450
05.450.4540,Physiologie,Physiology,05.450
05.450.4550,Physiologische Chemie (Biochemie),Physiological Chemistry (biochemistry),05.450
05.450.4560,Anatomie,Anatomy,05.450
05.450.4580,Medizinische Psychologie,Medical Psychology,05.450
05.450.4585,Medizinische Soziologie,Medical Sociology,05.450
05.450.4590,Medizinische Terminologie,Medical Terminology,05.450
05.450.4595,Radiologie/Strahlentherapie/Nuklearmedizin,Radiology/radiation Therapy/nuclear Medicine,05.450
05.450.4610,Vorklinische Zahnheilkunde,Preclinical Dentistry,05.450
05.470,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Clinical-theoretical Human Medicine (including Dentistry),05
05.470.4525,Medizinische Informatik (nur für Mediziner),Medical Informatics (only For Physicians),05.470
05.470.4700,Klinisch-Theoretische Humanmedizin allgemein,Clinical Theoretical Human Medicine (general),05.470
05.470.4705,Arbeitsmedizin (klinisch-theoretisch),Occupational Medicine (Theoretical/Clinical),05.470
05.470.4710,"Pathologie, Neuropathologie","Pathology, Neuropathology",05.470
05.470.4715,Pharmakologie und Toxikologie (medizinisch),Pharmacology And Toxicology (medical),05.470
05.470.4716,Präventiv- und Vorsorgemedizin,Preventive And Precautionary Medicine,05.470
05.470.4720,Biomathematik (für Mediziner),Biomathematics (for Physicians),05.470
05.470.4725,Biomedizinische Technik,Biomedical Technology,05.470
05.470.4730,Klinische Chemie und Hämatologie,Clinical Chemistry And Haematology,05.470
05.470.4732,Klinische Krebsforschung und molekulare Tumorforschung,Clinical Cancer Research And Molecular Tumor Research,05.470
